Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,66800.0,67800.0,66700.0,67300.0,66982.828125,10139270
2023-10-31,67600.0,68300.0,66900.0,66900.0,66584.7109375,14488892
2023-11-01,67500.0,68900.0,67300.0,68600.0,68276.703125,13775256
2023-11-02,70000.0,70000.0,69400.0,69700.0,69371.515625,16350031
2023-11-03,69700.0,70200.0,69500.0,69600.0,69271.984375,10322234
2023-11-06,69800.0,70900.0,69300.0,70900.0,70565.859375,22228489
2023-11-07,70600.0,70900.0,70000.0,70900.0,70565.859375,17228731
2023-11-08,71300.0,71400.0,69700.0,69900.0,69570.5703125,12901310
2023-11-09,69900.0,70800.0,69600.0,70300.0,69968.6875,12301373
2023-11-10,70000.0,70500.0,69500.0,70500.0,70167.75,9684347
2023-11-13,71300.0,71300.0,70300.0,70400.0,70068.21875,9246919
2023-11-14,71000.0,71100.0,70600.0,70800.0,70466.3359375,9567984
2023-11-15,71600.0,72200.0,71500.0,72200.0,71859.734375,20148677
2023-11-16,72500.0,73000.0,72300.0,72800.0,72456.90625,15860451
2023-11-17,72300.0,73000.0,72300.0,72500.0,72158.3203125,11494644
2023-11-20,72100.0,73000.0,72100.0,72700.0,72357.375,10610157
2023-11-21,73100.0,73400.0,72700.0,72800.0,72456.90625,9712881
2023-11-22,72200.0,73000.0,71900.0,72800.0,72456.90625,11105143
2023-11-23,73000.0,73200.0,72200.0,72400.0,72058.7890625,6775614
2023-11-24,72400.0,72600.0,71700.0,71700.0,71362.09375,6676685
2023-11-27,71500.0,72100.0,71100.0,71300.0,70963.9765625,9113857
2023-11-28,71400.0,72700.0,71300.0,72700.0,72357.375,13283081
2023-11-29,72400.0,72800.0,72200.0,72700.0,72357.375,9283933
2023-11-30,72700.0,72800.0,72200.0,72800.0,72456.90625,15783714
2023-12-01,72400.0,72500.0,71700.0,72000.0,71660.6796875,9871284
2023-12-04,72800.0,72900.0,72400.0,72600.0,72257.8515625,10229267
2023-12-05,72300.0,72400.0,71200.0,71200.0,70864.4453125,12129682
2023-12-06,71800.0,72100.0,71600.0,71700.0,71362.09375,8123087
2023-12-07,71800.0,71900.0,71100.0,71500.0,71163.03125,8862017
2023-12-08,72100.0,72800.0,71900.0,72600.0,72257.8515625,10859463
2023-12-11,72800.0,73000.0,72200.0,73000.0,72655.9609375,9861960
2023-12-12,73300.0,73500.0,73100.0,73500.0,73153.609375,13758646
2023-12-13,73300.0,73500.0,72800.0,72800.0,72456.90625,13116766
2023-12-14,74100.0,74300.0,72500.0,73100.0,72755.4921875,27567593
2023-12-15,73800.0,74000.0,73200.0,73300.0,72954.546875,15419815
2023-12-18,73300.0,73400.0,72800.0,72900.0,72556.4375,9690551
2023-12-19,73000.0,73400.0,72800.0,73400.0,73054.078125,8907632
2023-12-20,74200.0,74900.0,73800.0,74800.0,74447.484375,16870156
2023-12-21,74600.0,75000.0,74300.0,75000.0,74646.5390625,13478766
2023-12-22,75800.0,76300.0,75400.0,75900.0,75542.296875,14515608
2023-12-26,76100.0,76700.0,75700.0,76600.0,76239.0,13164909
2023-12-27,76700.0,78000.0,76500.0,78000.0,78000.0,20651042
2023-12-28,77700.0,78500.0,77500.0,78500.0,78500.0,17797536
2024-01-02,78200.0,79800.0,78200.0,79600.0,79600.0,17142847
2024-01-03,78500.0,78800.0,77000.0,77000.0,77000.0,21753644
2024-01-04,76100.0,77300.0,76100.0,76600.0,76600.0,15324439
2024-01-05,76700.0,77100.0,76400.0,76600.0,76600.0,11304316
2024-01-08,77000.0,77500.0,76400.0,76500.0,76500.0,11088724
2024-01-09,77400.0,77700.0,74300.0,74700.0,74700.0,26019249
2024-01-10,75000.0,75200.0,73200.0,73600.0,73600.0,20259529
2024-01-11,72900.0,73600.0,72700.0,73200.0,73200.0,57691266
2024-01-12,73000.0,74100.0,72800.0,73100.0,73100.0,13038939
2024-01-15,73200.0,74000.0,73200.0,73900.0,73900.0,2957915
2024-01-16,73500.0,73700.0,72500.0,72600.0,72600.0,14760415
2024-01-17,73100.0,73300.0,71000.0,71000.0,71000.0,22683660
2024-01-18,71600.0,72000.0,70700.0,71700.0,71700.0,17853397
2024-01-19,73500.0,74700.0,73000.0,74700.0,74700.0,23363427
2024-01-22,75900.0,76000.0,75000.0,75100.0,75100.0,19673375
2024-01-23,75700.0,75800.0,74300.0,75200.0,75200.0,14786224
2024-01-24,75200.0,75200.0,73500.0,74000.0,74000.0,12860661
2024-01-25,74200.0,74800.0,73700.0,74100.0,74100.0,11737747
2024-01-26,73700.0,74500.0,73300.0,73400.0,73400.0,11160062
2024-01-29,73800.0,75200.0,73500.0,74400.0,74400.0,13976521
2024-01-30,75000.0,75300.0,73700.0,74300.0,74300.0,12244418
2024-01-31,73400.0,74000.0,72500.0,72700.0,72700.0,15703560
2024-02-01,73000.0,74200.0,72900.0,73600.0,73600.0,19881033
2024-02-02,74000.0,75200.0,73700.0,75200.0,75200.0,14955881
2024-02-05,74200.0,74800.0,73500.0,74300.0,74300.0,19026021
2024-02-06,74300.0,74700.0,73300.0,74400.0,74400.0,14559254
2024-02-07,74600.0,75500.0,74300.0,75000.0,75000.0,16566445
2024-02-08,75000.0,75200.0,73600.0,74100.0,74100.0,20810708
2024-02-13,74800.0,75200.0,74400.0,75200.0,75200.0,21966745
2024-02-14,73700.0,74300.0,73700.0,74000.0,74000.0,12434945
2024-02-15,74200.0,74400.0,73000.0,73200.0,73200.0,14120600
2024-02-16,73300.0,73400.0,72500.0,72800.0,72800.0,13444781
2024-02-19,72800.0,73900.0,72800.0,73800.0,73800.0,12726404
2024-02-20,73700.0,73700.0,72800.0,73300.0,73300.0,14681477
2024-02-21,73400.0,73700.0,72900.0,73000.0,73000.0,11503495
2024-02-22,73800.0,73900.0,72700.0,73100.0,73100.0,15208934
2024-02-23,73600.0,74200.0,72900.0,72900.0,72900.0,16225166
2024-02-26,72300.0,73200.0,72200.0,72800.0,72800.0,14669352
2024-02-27,73100.0,73400.0,72700.0,72900.0,72900.0,13201981
2024-02-28,72900.0,73900.0,72800.0,73200.0,73200.0,11795859
2024-02-29,72600.0,73400.0,72000.0,73400.0,73400.0,21176403
2024-03-04,74300.0,75000.0,74000.0,74900.0,74900.0,23210474
2024-03-05,74600.0,74800.0,73700.0,73700.0,73700.0,19505125
2024-03-06,73200.0,73500.0,72700.0,72900.0,72900.0,21547905
2024-03-07,73100.0,73300.0,72200.0,72200.0,72200.0,14516963
2024-03-08,72800.0,73400.0,72600.0,73300.0,73300.0,19271349
2024-03-11,72900.0,73100.0,72300.0,72400.0,72400.0,9740504
2024-03-12,72600.0,73500.0,72100.0,73300.0,73300.0,13011654
2024-03-13,73700.0,74100.0,73500.0,74100.0,74100.0,15243134
2024-03-14,74400.0,74500.0,73600.0,74300.0,74300.0,22545539
2024-03-15,73400.0,73700.0,72300.0,72300.0,72300.0,22580555
2024-03-18,72600.0,73000.0,72500.0,72800.0,72800.0,11520348
2024-03-19,72300.0,73000.0,71700.0,72800.0,72800.0,15376066
2024-03-20,73700.0,77200.0,73400.0,76900.0,76900.0,50106297
2024-03-21,79200.0,79300.0,77700.0,79300.0,79300.0,44569799
2024-03-22,79600.0,79900.0,77800.0,78900.0,78900.0,26724761
